Date,Time,SensorID,Temperature,Humidity
2025-04-23,14:37:10,DHTSensor,,55.0
2025-04-23,14:37:19,DHTSensor,23.8,
2025-04-23,14:37:20,DHTSensor,,55.0
2025-04-23,14:37:30,DHTSensor,23.8,
2025-04-23,14:37:30,DHTSensor,,55.0
2025-04-23,14:37:40,DHTSensor,23.8,
2025-04-23,14:37:40,DHTSensor,,55.0
2025-04-23,14:37:50,DHTSensor,23.8,
2025-04-23,14:37:50,DHTSensor,,55.0
2025-04-23,14:37:59,DHTSensor,23.8,
2025-04-23,14:38:00,DHTSensor,,55.0
2025-04-23,14:38:10,DHTSensor,23.8,
2025-04-23,14:38:10,DHTSensor,,55.0
2025-04-23,14:38:20,DHTSensor,23.8,
2025-04-23,14:38:20,DHTSensor,,55.0
2025-04-23,14:38:30,DHTSensor,23.8,
2025-04-23,14:38:30,DHTSensor,,55.0
2025-04-23,14:38:40,DHTSensor,23.8,
2025-04-23,14:38:40,DHTSensor,,55.0
2025-04-23,14:38:50,DHTSensor,23.8,
2025-04-23,14:38:50,DHTSensor,,55.0
2025-04-23,14:39:00,DHTSensor,23.8,
2025-04-23,14:39:00,DHTSensor,,55.0
2025-04-23,14:39:10,DHTSensor,23.8,
2025-04-23,14:39:10,DHTSensor,,55.0
2025-04-23,14:39:20,DHTSensor,23.8,
2025-04-23,14:39:20,DHTSensor,,55.0
2025-04-23,14:39:30,DHTSensor,23.8,
2025-04-23,14:39:30,DHTSensor,,55.0
2025-04-23,14:39:40,DHTSensor,23.8,
2025-04-23,14:39:40,DHTSensor,,55.0
2025-04-23,14:39:50,DHTSensor,23.8,
2025-04-23,14:39:50,DHTSensor,,55.0
2025-04-23,14:40:00,DHTSensor,23.8,
2025-04-23,14:40:00,DHTSensor,,55.0
2025-04-23,14:40:10,DHTSensor,23.8,
2025-04-23,14:40:10,DHTSensor,,55.0
2025-04-23,14:40:20,DHTSensor,23.8,
2025-04-23,14:40:20,DHTSensor,,55.0
2025-04-23,14:40:30,DHTSensor,23.8,
2025-04-23,14:40:30,DHTSensor,,55.0
2025-04-23,14:40:40,DHTSensor,23.8,
2025-04-23,14:40:40,DHTSensor,,55.0
2025-04-23,14:40:50,DHTSensor,23.8,
2025-04-23,14:40:50,DHTSensor,,55.0
2025-04-23,14:41:00,DHTSensor,23.8,
2025-04-23,14:41:00,DHTSensor,,55.0
2025-04-23,14:41:10,DHTSensor,23.8,
2025-04-23,14:41:10,DHTSensor,,55.0
2025-04-23,14:41:20,DHTSensor,23.8,
2025-04-23,14:41:21,DHTSensor,,55.0
2025-04-23,14:41:30,DHTSensor,23.8,
2025-04-23,14:41:31,DHTSensor,,55.0
2025-04-23,14:41:40,DHTSensor,23.8,
2025-04-23,14:41:41,DHTSensor,,55.0
2025-04-23,14:41:51,DHTSensor,23.8,
2025-04-23,14:41:51,DHTSensor,,55.0
2025-04-23,14:42:01,DHTSensor,23.8,
2025-04-23,14:42:01,DHTSensor,,55.0
2025-04-23,14:42:11,DHTSensor,23.8,
2025-04-23,14:42:11,DHTSensor,,55.0
2025-04-23,14:42:21,DHTSensor,23.8,
2025-04-23,14:42:21,DHTSensor,,55.0
2025-04-23,14:42:31,DHTSensor,23.8,
2025-04-23,14:42:31,DHTSensor,,55.0
2025-04-23,14:42:41,DHTSensor,23.8,
2025-04-23,14:42:41,DHTSensor,,55.0
2025-04-23,14:42:51,DHTSensor,23.8,
2025-04-23,14:42:51,DHTSensor,,55.0
